RV Park Name,Address,Phone Number,Website
Western Village RV Park,"200 Greenview Dr, Carlisle, PA 17015",(717) 243-1179,westernvillagervpark.com
Pomona RV Park & Campground,"536 S Pomona Rd, Pomona, NJ 08240",(609) 965-2123,pomonarvpark.com
Turkey Swamp Park Campground,"200 Georgia Rd, Freehold, NJ 07728",(732) 462-7286,monmouthcountyparks.com
Cowboys and Angels RV Park,"3385 Hwy 41, Mountain Home, TX 78058",(830) 640-3485,cowboysandangelsrv.com
Sea Grove Camping Resort,"2665 Route 9, Ocean View, NJ 08230",(609) 624-3529,seagroveresort.com
Otter Lake Camp Resort,"1639 Marshalls Creek Rd, East Stroudsburg, PA 18302",(570) 223-0123,otterlake.com
Granite Hill Camping Resort,"3340 Fairfield Rd, Gettysburg, PA 17325",(717) 642-8749,granitehillcampingresort.com
Moonlight Lake RV Park,"180 Moonlight Lake Dr, New Bern, NC 28560",(252) 745-9800,moonlightlake.com
Ballard's Campground,"11843 State Hwy FF, Joplin, MO 64804",(417) 624-3431,joplinrvpark.com
Tellico Plains KOA Holiday,"3251 Highway 68, Tellico Plains, TN 37385",(423) 253-3513,koa.com
Miller's Kampark,"10 E Hwy 92, Liberty, MO 64068",(816) 781-7724,millerskampark.com
Black Moshannon State Park,"4216 Beaver Rd, Philipsburg, PA 16866",(814) 342-5960,dcnr.pa.gov
Cook Forest State Park,"100 Route 36, Cooksburg, PA 16217",(814) 744-8407,dcnr.pa.gov
French Creek State Park,"843 Park Rd, Elverson, PA 19520",(610) 582-9680,dcnr.pa.gov
Gifford Pinchot State Park,"2200 Rosstown Rd, Lewisberry, PA 17339",(717) 432-5011,dcnr.pa.gov
Hills Creek State Park,"111 Spillway Rd, Wellsboro, PA 16901",(570) 537-2044,dcnr.pa.gov
Kooser State Park,"933 Glades Pike, Somerset, PA 15501",(814) 445-8673,dcnr.pa.gov
Laurel Hill State Park,"1454 Laurel Hill Park Rd, Somerset, PA 15501",(814) 445-7725,dcnr.pa.gov
Linn Run State Park,"770 Linn Run Rd, Rector, PA 15677",(724) 238-6623,dcnr.pa.gov
Ohiopyle State Park,"171 Dinner Bell Rd, Ohiopyle, PA 15470",(724) 329-8591,dcnr.pa.gov
Parker Dam State Park,"28 Fairview Rd, Penfield, PA 15849",(814) 765-0630,dcnr.pa.gov
Prince Gallitzin State Park,"966 Marina Rd, Patton, PA 16668",(814) 674-1000,dcnr.pa.gov
Pymatuning State Park,"2660 Williamsfield Rd, Jamestown, PA 16134",(724) 932-3141,dcnr.pa.gov
Raccoon Creek State Park,"3000 State Route 18, Hookstown, PA 15050",(724) 899-2200,dcnr.pa.gov
Bald Eagle State Park,"149 Main Park Rd, Howard, PA 16841",(814) 625-2775,dcnr.pa.gov
Canoe Creek State Park,"205 Canoe Creek Rd, Hollidaysburg, PA 16648",(814) 695-6807,dcnr.pa.gov
Codorus State Park,"2600 Smith Station Rd, Hanover, PA 17331",(717) 637-2816,dcnr.pa.gov
Promised Land State Park,"100 Lower Lake Rd, Greentown, PA 18426",(570) 676-3428,dcnr.pa.gov
Bastrop State Park,"100 Park Road 1A, Bastrop, TX 78602",(512) 321-2101,tpwd.texas.gov
Buescher State Park,"100 Park Road 1E, Smithville, TX 78957",(512) 237-2241,tpwd.texas.gov
Caddo Lake State Park,"245 Park Road 2, Karnack, TX 75661",(903) 679-3351,tpwd.texas.gov
Daingerfield State Park,"455 Park Road 17, Daingerfield, TX 75638",(903) 645-2921,tpwd.texas.gov
Garner State Park,"234 RR 1050, Concan, TX 78838",(830) 232-6132,tpwd.texas.gov
Inks Lake State Park,"3630 Park Road 4 West, Burnet, TX 78611",(512) 793-2223,tpwd.texas.gov
Meridian State Park,"173 Park Road 7, Meridian, TX 76665",(254) 435-2536,tpwd.texas.gov
Palmetto State Park,"78 Park Road 11 South, Gonzales, TX 78629",(830) 672-3266,tpwd.texas.gov
Palo Duro Canyon State Park,"11450 State Hwy Park Rd 5, Canyon, TX 79015",(806) 488-2227,tpwd.texas.gov
Tyler State Park,"789 Park Road 16, Tyler, TX 75706",(903) 597-5338,tpwd.texas.gov
Possum Kingdom State Park,"3901 St Park Rd 33, Caddo, TX 76429",(940) 549-1803,tpwd.texas.gov
Abilene State Park,"150 Park Road 32, Tuscola, TX 79562",(325) 572-3204,tpwd.texas.gov
Blue Spring State Park,"2100 W French Ave, Orange City, FL 32763",(386) 773-2107,floridastateparks.org
Fanning Springs State Park,"18020 NW Hwy 19, Fanning Springs, FL 32693",(352) 463-3420,floridastateparks.org
Jonathan Dickinson State Park,"16450 SE Federal Hwy, Hobe Sound, FL 33455",(772) 546-2771,floridastateparks.org
Lafayette Blue Springs,"799 NW Blue Spring Rd, Mayo, FL 32066",(386) 294-3667,floridastateparks.org
Oleta River State Park,"3400 NE 163rd St, North Miami Beach, FL 33160",(305) 919-1846,floridastateparks.org
Silver Springs State Park,"5656 E Silver Springs Blvd, Silver Springs, FL 34488",(352) 236-7148,floridastateparks.org
Topsail Hill Preserve,"7525 W County Hwy 30A, Santa Rosa Beach, FL 32459",(850) 267-8330,floridastateparks.org
Wakulla Springs State Park,"465 Wakulla Park Dr, Wakulla Springs, FL 32327",(850) 561-7276,floridastateparks.org
Myakka River State Park,"13208 State Rd 72, Sarasota, FL 34241",(941) 361-6511,floridastateparks.org
Stephen Foster State Park,"11016 Lillian Saunders Dr, White Springs, FL 32096",(386) 397-2733,floridastateparks.org